20
30
20
30
3
4
(Type= 0 ,Gender= 3 ,X= 0 ,Y= 0 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 14 ,Y= 4 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 14 ,Y= 5 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 14 ,Y= 6 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 0 ,X= 14 ,Y= 7 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 14 ,Y= 8 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 14 ,Y= 9 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 0 ,X= 14 ,Y= 10 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 0 ,X= 14 ,Y= 11 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 14 ,Y= 12 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 14 ,Y= 13 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 14 ,Y= 14 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 14 ,Y= 15 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 14 ,Y= 16 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 14 ,Y= 17 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 14 ,Y= 18 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 14 ,Y= 19 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 15 ,Y= 0 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 15 ,Y= 1 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 15 ,Y= 2 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 15 ,Y= 3 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 15 ,Y= 4 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 15 ,Y= 5 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 15 ,Y= 6 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 15 ,Y= 7 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 15 ,Y= 8 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 15 ,Y= 9 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 15 ,Y= 10 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 15 ,Y= 11 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 15 ,Y= 12 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 15 ,Y= 13 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 15 ,Y= 14 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 1 ,X= 15 ,Y= 15 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 15 ,Y= 16 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 15 ,Y= 17 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 15 ,Y= 18 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 15 ,Y= 19 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 1 ,X= 16 ,Y= 0 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 0 ,X= 16 ,Y= 1 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 1 ,X= 16 ,Y= 2 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 16 ,Y= 3 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 16 ,Y= 4 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 16 ,Y= 5 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 16 ,Y= 6 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 16 ,Y= 7 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 1 ,X= 16 ,Y= 8 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 16 ,Y= 9 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 16 ,Y= 10 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 16 ,Y= 11 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 16 ,Y= 12 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 16 ,Y= 13 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 16 ,Y= 14 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 16 ,Y= 15 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 16 ,Y= 16 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 16 ,Y= 17 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 16 ,Y= 18 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 16 ,Y= 19 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 17 ,Y= 0 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 17 ,Y= 1 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 17 ,Y= 2 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 17 ,Y= 3 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 17 ,Y= 4 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 17 ,Y= 5 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 17 ,Y= 6 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 1 ,X= 17 ,Y= 7 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 1 ,X= 17 ,Y= 8 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 17 ,Y= 9 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 17 ,Y= 10 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 17 ,Y= 11 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 17 ,Y= 12 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 1 ,X= 17 ,Y= 13 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 17 ,Y= 14 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 17 ,Y= 15 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 17 ,Y= 16 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 17 ,Y= 17 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 17 ,Y= 18 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 17 ,Y= 19 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 18 ,Y= 0 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 18 ,Y= 1 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 18 ,Y= 2 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 18 ,Y= 3 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 18 ,Y= 4 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 18 ,Y= 5 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 1 ,X= 18 ,Y= 6 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 1 ,X= 18 ,Y= 7 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 1 ,X= 18 ,Y= 8 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 0 ,X= 18 ,Y= 9 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 0 ,X= 18 ,Y= 10 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 18 ,Y= 11 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 18 ,Y= 12 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 18 ,Y= 13 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 18 ,Y= 14 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 18 ,Y= 15 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 18 ,Y= 16 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 18 ,Y= 17 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 18 ,Y= 18 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 18 ,Y= 19 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 19 ,Y= 0 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 19 ,Y= 1 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 19 ,Y= 2 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 19 ,Y= 3 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 19 ,Y= 4 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 19 ,Y= 5 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 19 ,Y= 6 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 19 ,Y= 7 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 19 ,Y= 8 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 19 ,Y= 9 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 19 ,Y= 10 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 19 ,Y= 11 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 19 ,Y= 12 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 19 ,Y= 13 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 1 ,X= 19 ,Y= 14 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 19 ,Y= 15 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 19 ,Y= 16 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 0 ,X= 19 ,Y= 17 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 0 ,X= 19 ,Y= 18 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 0 ,X= 19 ,Y= 19 ,Age= 0 ,Health= 20 )
